Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,PedsSen_Count,Weather_Temperature,Weather_Wind_Gust,Weather_Relative_Humidity,Weather_Precipitation,Is_Holiday
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-07,42986.0,20.2125,29.100004,65.38213,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-08,36619.0,20.293749,32.489998,65.441795,0.0,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-09,62070.0,20.354166,42.87,78.36261,2.4,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-10,59427.0,19.541666,41.16,85.6623,11.2,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-11,71180.0,18.931248,35.399998,67.62701,4.2000003,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-12,78045.0,18.725,34.170002,58.731518,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-13,61221.0,19.060415,21.689999,72.19218,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-14,48065.0,20.65,36.254997,71.646454,0.6,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-15,837.0,20.65,62.774998,91.30259,67.2,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-16,18458.0,20.866667,40.530003,81.831,11.5,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-17,19999.0,19.464582,34.664997,62.8083,0.7,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-18,50430.0,17.560417,28.664999,64.23404,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-19,56702.0,18.804167,18.720001,72.08967,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-20,50204.0,18.78125,24.644999,78.812935,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-21,43680.0,18.977083,23.775,81.56758,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-22,60690.0,20.054167,33.585,73.914986,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-23,67749.0,20.987501,50.984997,71.36141,0.5,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-24,69584.0,21.064585,40.44,71.10818,0.1,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-25,76728.0,20.822914,19.575,71.720505,0.1,0
