Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,PedsSen_Count,Weather_Temperature,Weather_Wind_Gust,Weather_Relative_Humidity,Weather_Precipitation,Is_Holiday
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-07,48989.0,4.1453333,59.385002,68.89731,0.2,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-08,73533.0,2.6974165,57.795,61.814667,0.0,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-09,55160.0,2.3786666,57.39,61.607502,0.2,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-10,65212.0,2.0953333,43.59,62.539494,0.5,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-11,58904.0,1.8474168,64.079994,63.766815,0.0,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-12,65738.0,2.951583,71.265,63.507404,0.2,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-13,53052.0,3.220333,79.799995,82.734924,8.7,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-14,45525.0,9.189084,57.96,87.13506,6.4000006,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-15,58997.0,9.884916,35.265,83.94213,2.1,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-16,62125.0,9.228665,39.945,77.49106,0.4,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-17,64656.0,8.61825,42.63,75.84401,0.3,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-18,63493.0,6.5849156,53.82,77.76926,7.5999994,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-19,55371.0,10.053666,55.70999,83.02976,11.500002,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-20,54189.0,9.712,51.675,85.83492,7.5999994,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-21,50933.0,8.741166,32.325,72.68102,0.0,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-22,51920.0,7.6182504,26.67,75.749794,0.0,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-23,41954.0,11.672416,67.259995,81.2692,13.9,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-24,57128.0,10.3724165,36.104996,76.80349,1.5000002,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-25,63842.0,6.907833,33.569996,74.16268,0.0,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Cultural,53.3438,-6.254,2021-02-26,67013.0,7.3786674,18.914997,77.60604,0.0,0
